C:\Users\shuya\AppData\Local\Programs\Python\Python36\python.exe C:/Users/shuya/iCloudDrive/Desktop/Sync/Umich/EECS-498-598-Deep-Learning/Assignments/Homework4/code/actor_critic.py
C:/Users/shuya/iCloudDrive/Desktop/Sync/Umich/EECS-498-598-Deep-Learning/Assignments/Homework4/code/actor_critic.py:47: UserWarning: Implicit dimension choice for softmax has been deprecated. Change the call to include dim=X as an argument.
  return F.softmax(action_score), state_values
Episode 10	Last reward: 23.00	Average reward: 12.12
Episode 20	Last reward: 27.00	Average reward: 23.81
Episode 30	Last reward: 68.00	Average reward: 35.83
Episode 40	Last reward: 54.00	Average reward: 38.70
Episode 50	Last reward: 36.00	Average reward: 39.97
Episode 60	Last reward: 40.00	Average reward: 46.59
Episode 70	Last reward: 25.00	Average reward: 40.34
Episode 80	Last reward: 57.00	Average reward: 43.12
Episode 90	Last reward: 27.00	Average reward: 52.38
Episode 100	Last reward: 33.00	Average reward: 45.07
Episode 110	Last reward: 52.00	Average reward: 44.26
Episode 120	Last reward: 110.00	Average reward: 53.28
Episode 130	Last reward: 63.00	Average reward: 60.00
Episode 140	Last reward: 26.00	Average reward: 48.26
Episode 150	Last reward: 57.00	Average reward: 42.00
Episode 160	Last reward: 107.00	Average reward: 57.34
Episode 170	Last reward: 13.00	Average reward: 69.32
Episode 180	Last reward: 9.00	Average reward: 45.26
Episode 190	Last reward: 11.00	Average reward: 31.16
Episode 200	Last reward: 12.00	Average reward: 23.18
Episode 210	Last reward: 12.00	Average reward: 19.02
Episode 220	Last reward: 12.00	Average reward: 16.51
Episode 230	Last reward: 14.00	Average reward: 14.82
Episode 240	Last reward: 14.00	Average reward: 14.17
Episode 250	Last reward: 13.00	Average reward: 12.96
Episode 260	Last reward: 12.00	Average reward: 12.61
Episode 270	Last reward: 13.00	Average reward: 12.40
Episode 280	Last reward: 16.00	Average reward: 12.13
Episode 290	Last reward: 13.00	Average reward: 11.68
Episode 300	Last reward: 15.00	Average reward: 11.70
Episode 310	Last reward: 15.00	Average reward: 12.43
Episode 320	Last reward: 15.00	Average reward: 13.45
Episode 330	Last reward: 12.00	Average reward: 13.99
Episode 340	Last reward: 13.00	Average reward: 14.79
Episode 350	Last reward: 16.00	Average reward: 15.84
Episode 360	Last reward: 18.00	Average reward: 16.41
Episode 370	Last reward: 20.00	Average reward: 17.31
Episode 380	Last reward: 15.00	Average reward: 18.28
Episode 390	Last reward: 24.00	Average reward: 19.84
Episode 400	Last reward: 20.00	Average reward: 20.93
Episode 410	Last reward: 36.00	Average reward: 23.97
Episode 420	Last reward: 59.00	Average reward: 31.40
Episode 430	Last reward: 25.00	Average reward: 35.68
Episode 440	Last reward: 27.00	Average reward: 32.63
Episode 450	Last reward: 72.00	Average reward: 39.96
Episode 460	Last reward: 43.00	Average reward: 49.22
Episode 470	Last reward: 26.00	Average reward: 40.49
Episode 480	Last reward: 28.00	Average reward: 34.50
Episode 490	Last reward: 28.00	Average reward: 33.79
Episode 500	Last reward: 36.00	Average reward: 33.73
Episode 510	Last reward: 49.00	Average reward: 35.26
Episode 520	Last reward: 52.00	Average reward: 40.93
Episode 530	Last reward: 200.00	Average reward: 82.14
Episode 540	Last reward: 69.00	Average reward: 101.48
Episode 550	Last reward: 71.00	Average reward: 89.78
Episode 560	Last reward: 126.00	Average reward: 80.06
Episode 570	Last reward: 103.00	Average reward: 91.52
Episode 580	Last reward: 79.00	Average reward: 90.71
Episode 590	Last reward: 110.00	Average reward: 114.34
Episode 600	Last reward: 70.00	Average reward: 101.85
Episode 610	Last reward: 69.00	Average reward: 93.24
Episode 620	Last reward: 100.00	Average reward: 84.48
Episode 630	Last reward: 106.00	Average reward: 100.39
Episode 640	Last reward: 103.00	Average reward: 114.68
Episode 650	Last reward: 69.00	Average reward: 102.87
Episode 660	Last reward: 85.00	Average reward: 93.87
Episode 670	Last reward: 91.00	Average reward: 88.68
Episode 680	Last reward: 146.00	Average reward: 97.39
Episode 690	Last reward: 77.00	Average reward: 105.32
Episode 700	Last reward: 53.00	Average reward: 83.94
Episode 710	Last reward: 101.00	Average reward: 91.65
Episode 720	Last reward: 144.00	Average reward: 110.24
Episode 730	Last reward: 101.00	Average reward: 101.11
Episode 740	Last reward: 77.00	Average reward: 97.46
Episode 750	Last reward: 77.00	Average reward: 106.49
Episode 760	Last reward: 58.00	Average reward: 89.90
Episode 770	Last reward: 83.00	Average reward: 85.12
Episode 780	Last reward: 109.00	Average reward: 87.41
Episode 790	Last reward: 91.00	Average reward: 84.60
Episode 800	Last reward: 106.00	Average reward: 82.87
Episode 810	Last reward: 73.00	Average reward: 80.57
Episode 820	Last reward: 142.00	Average reward: 82.79
Episode 830	Last reward: 73.00	Average reward: 82.93
Episode 840	Last reward: 86.00	Average reward: 95.49
Episode 850	Last reward: 83.00	Average reward: 90.06
Episode 860	Last reward: 128.00	Average reward: 91.26
Episode 870	Last reward: 108.00	Average reward: 103.36
Episode 880	Last reward: 142.00	Average reward: 114.14
Episode 890	Last reward: 161.00	Average reward: 125.39
Episode 900	Last reward: 160.00	Average reward: 121.67
Episode 910	Last reward: 154.00	Average reward: 134.22
Episode 920	Last reward: 57.00	Average reward: 108.92
Episode 930	Last reward: 43.00	Average reward: 85.88
Episode 940	Last reward: 31.00	Average reward: 67.85
Episode 950	Last reward: 27.00	Average reward: 51.99
Episode 960	Last reward: 29.00	Average reward: 41.13
Episode 970	Last reward: 25.00	Average reward: 35.67
Episode 980	Last reward: 35.00	Average reward: 32.60
Episode 990	Last reward: 27.00	Average reward: 31.10
Episode 1000	Last reward: 34.00	Average reward: 30.54
Episode 1010	Last reward: 37.00	Average reward: 31.61
Episode 1020	Last reward: 36.00	Average reward: 32.22
Episode 1030	Last reward: 47.00	Average reward: 32.96
Episode 1040	Last reward: 43.00	Average reward: 34.85
Episode 1050	Last reward: 31.00	Average reward: 35.55
Episode 1060	Last reward: 41.00	Average reward: 40.64
Episode 1070	Last reward: 53.00	Average reward: 44.74
Episode 1080	Last reward: 53.00	Average reward: 48.05
Episode 1090	Last reward: 115.00	Average reward: 63.74
Episode 1100	Last reward: 84.00	Average reward: 86.11
Episode 1110	Last reward: 99.00	Average reward: 102.69
Episode 1120	Last reward: 70.00	Average reward: 100.98
Episode 1130	Last reward: 128.00	Average reward: 93.76
Episode 1140	Last reward: 109.00	Average reward: 115.51
Episode 1150	Last reward: 96.00	Average reward: 111.87
Episode 1160	Last reward: 102.00	Average reward: 97.79
Episode 1170	Last reward: 104.00	Average reward: 101.83
Episode 1180	Last reward: 92.00	Average reward: 100.81
Episode 1190	Last reward: 116.00	Average reward: 105.06
Episode 1200	Last reward: 84.00	Average reward: 105.73
Episode 1210	Last reward: 103.00	Average reward: 108.17
Episode 1220	Last reward: 96.00	Average reward: 106.92
Episode 1230	Last reward: 108.00	Average reward: 111.92
Episode 1240	Last reward: 141.00	Average reward: 136.51
Episode 1250	Last reward: 120.00	Average reward: 138.04
Episode 1260	Last reward: 115.00	Average reward: 128.86
Episode 1270	Last reward: 144.00	Average reward: 128.64
Episode 1280	Last reward: 130.00	Average reward: 125.56
Episode 1290	Last reward: 147.00	Average reward: 128.27
Episode 1300	Last reward: 200.00	Average reward: 142.53
Episode 1310	Last reward: 135.00	Average reward: 148.44
Episode 1320	Last reward: 104.00	Average reward: 132.63
Episode 1330	Last reward: 135.00	Average reward: 128.53
Episode 1340	Last reward: 120.00	Average reward: 125.60
Episode 1350	Last reward: 113.00	Average reward: 125.25
Episode 1360	Last reward: 110.00	Average reward: 123.17
Episode 1370	Last reward: 126.00	Average reward: 131.04
Episode 1380	Last reward: 200.00	Average reward: 145.32
Episode 1390	Last reward: 124.00	Average reward: 153.16
Episode 1400	Last reward: 115.00	Average reward: 134.20
Episode 1410	Last reward: 109.00	Average reward: 123.09
Episode 1420	Last reward: 96.00	Average reward: 116.30
Episode 1430	Last reward: 111.00	Average reward: 112.85
Episode 1440	Last reward: 114.00	Average reward: 112.61
Episode 1450	Last reward: 157.00	Average reward: 128.65
Episode 1460	Last reward: 130.00	Average reward: 141.99
Episode 1470	Last reward: 115.00	Average reward: 126.89
Episode 1480	Last reward: 109.00	Average reward: 119.51
Episode 1490	Last reward: 38.00	Average reward: 96.84
Episode 1500	Last reward: 104.00	Average reward: 94.20
Episode 1510	Last reward: 99.00	Average reward: 96.47
Episode 1520	Last reward: 122.00	Average reward: 103.06
Episode 1530	Last reward: 154.00	Average reward: 115.09
Episode 1540	Last reward: 181.00	Average reward: 137.56
Episode 1550	Last reward: 129.00	Average reward: 144.63
Episode 1560	Last reward: 199.00	Average reward: 145.11
Episode 1570	Last reward: 200.00	Average reward: 165.14
Episode 1580	Last reward: 27.00	Average reward: 154.32
Episode 1590	Last reward: 36.00	Average reward: 105.04
Episode 1600	Last reward: 52.00	Average reward: 80.97
Episode 1610	Last reward: 48.00	Average reward: 66.70
Episode 1620	Last reward: 41.00	Average reward: 55.73
Episode 1630	Last reward: 54.00	Average reward: 48.74
Episode 1640	Last reward: 42.00	Average reward: 46.49
Episode 1650	Last reward: 45.00	Average reward: 52.66
Episode 1660	Last reward: 113.00	Average reward: 71.96
Episode 1670	Last reward: 133.00	Average reward: 89.68
Episode 1680	Last reward: 197.00	Average reward: 118.07
Episode 1690	Last reward: 154.00	Average reward: 138.74
Episode 1700	Last reward: 179.00	Average reward: 158.10
